ejecucion_id,3

METRICAS,valor
total_turnos,493
fase_null,7
noise_rows,7
fase8_null,0

DISTRIBUCION_FASE_11,n
OFERTA_PAGO,239
OBJECIONES_CLIENTE,74
VALIDACION_IDENTIDAD,55
PRESENTACION_AGENTE,33
FORMALIZACION_PAGO,29
EXPOSICION_DEUDA,19
NEGOCIACION_ACUERDO,15
CONSULTA_ACEPTACION,12
CIERRE,10
NULL,7

DISTRIBUCION_FASE_8,n
NEGOCIACIÓN,328
IDENTIFICACIÓN,55
APERTURA,33
FORMALIZACIÓN_PAGO,29
INFORMACIÓN_DEUDA,19
CONSULTA_ACEPTACIÓN,12
CIERRE,10
NOISE,7

DISTRIBUCION_FASE_SOURCE,n,fase_null
DEEPSEEK,417,0
NO_IMP,61,0
NOISE,7,7
CI_BK,4,0
CI_IMP,4,0
